Key,Param,Image,Genus,IncludeInKey,NoPict,Request,Ref,Footnote,Bull,ImageDetail
1,accordioncollapseOne001,https://nematode.unl.edu/aphcent4.jpg,Aphelenchoides,,,,,,,anterior
1,accordioncollapseOne001,https://nematode.unl.edu/aphcent5.jpg,Aphelenchoides,,,,,,,lateral field
1,accordioncollapseOne001,https://nematode.unl.edu/aphcent6.jpg,Aphelenchoides,,,,,,,tail
1,accordioncollapseOne001,https://nematode.unl.edu/aphcla1.jpg,Aphelenchoides,,,,,,,body
1,accordioncollapseOne001,https://nematode.unl.edu/aphcla10.jpg,Aphelenchoides,,,,,,,head
1,accordioncollapseOne001,https://nematode.unl.edu/aphcla11.jpg,Aphelenchoides,,,,,,,tail
1,accordioncollapseOne001,https://nematode.unl.edu/aphcla2.jpg,Aphelenchoides,,,,,,,head
1,accordioncollapseOne001,https://nematode.unl.edu/aphcla3.jpg,Aphelenchoides,,,,,,,tail
1,accordioncollapseOne001,https://nematode.unl.edu/aphcla4.jpg,Aphelenchoides,,,,,,,head
1,accordioncollapseOne001,https://nematode.unl.edu/aphcla5.jpg,Aphelenchoides,,,,,,,lateral field
1,accordioncollapseOne001,https://nematode.unl.edu/aphcla6.jpg,Aphelenchoides,,,,,,,body
1,accordioncollapseOne001,https://nematode.unl.edu/aphcla7.jpg,Aphelenchoides,,,,,,,vulva
1,accordioncollapseOne001,https://nematode.unl.edu/aphcla9.jpg,Aphelenchoides,,,,,,,body
1,accordioncollapseOne001,https://nematode.unl.edu/aphclacmp.jpg,Aphelenchoides,,,,,,,compare
1,accordioncollapseOne001,https://nematode.unl.edu/aphdac1.jpg,Aphelenchoides,,,,,,,median bulb
1,accordioncollapseOne001,https://nematode.unl.edu/aphdac2.jpg,Aphelenchoides,,,,,,,vulva
1,accordioncollapseOne001,https://nematode.unl.edu/aphdac3.jpg,Aphelenchoides,,,,,,,tail
1,accordioncollapseOne001,https://nematode.unl.edu/aphelha1.jpg,Aphelenchoides,,,,,,,body
1,accordioncollapseOne001,https://nematode.unl.edu/aphelha2.jpg,Aphelenchoides,,,,,,,head
1,accordioncollapseOne001,https://nematode.unl.edu/aphelha3.jpg,Aphelenchoides,,,,,,,tail
1,accordioncollapseOne001,https://nematode.unl.edu/aphelha4.jpg,Aphelenchoides,,,,,,,tail
1,accordioncollapseOne001,https://nematode.unl.edu/aphelha5.jpg,Aphelenchoides,,,,,,,head
1,accordioncollapseOne001,https://nematode.unl.edu/aphelha6.jpg,Aphelenchoides,,,,,,,tail
1,accordioncollapseOne001,https://nematode.unl.edu/aphelha7.jpg,Aphelenchoides,,,,,,,head
1,accordioncollapseOne001,https://nematode.unl.edu/aphelha8.jpg,Aphelenchoides,,,,,,,head
1,accordioncollapseOne001,https://nematode.unl.edu/aphen1.jpg,Aphelenchus,,,,,,,body
1,accordioncollapseOne001,https://nematode.unl.edu/aphen2.jpg,Aphelenchus,,,,,,,head
1,accordioncollapseOne001,https://nematode.unl.edu/aphen3.jpg,Aphelenchus,,,,,,,tail
1,accordioncollapseOne001,https://nematode.unl.edu/aphen4.jpg,Aphelenchus,,,,,,,head
1,accordioncollapseOne001,https://nematode.unl.edu/aphen5.jpg,Aphelenchus,,,,,,,tail
1,accordioncollapseOne001,https://nematode.unl.edu/aphpa1.jpg,Aphelenchoides,,,,,,,body
1,accordioncollapseOne001,https://nematode.unl.edu/aphpa2.jpg,Aphelenchoides,,,,,,,esophagus
1,accordioncollapseOne001,https://nematode.unl.edu/aphpa3.jpg,Aphelenchoides,,,,,,,vulva
1,accordioncollapseOne001,https://nematode.unl.edu/aphpa4.jpg,Aphelenchoides,,,,,,,tail
1,accordioncollapseOne001,https://nematode.unl.edu/aphvi1.jpg,Aphelenchoides,,,,,,,head
1,accordioncollapseOne001,https://nematode.unl.edu/aphvi2.jpg,Aphelenchoides,,,,,,,tail
1,accordioncollapseOne001,https://nematode.unl.edu/aphvicmp.jpg,Aphelenchoides,,,,,,,compare
1,accordioncollapseOne001,https://nematode.unl.edu/appus1.jpg,Aphelenchoides,,,,,,,body
1,accordioncollapseOne001,https://nematode.unl.edu/appus10.jpg,Aphelenchoides,,,,,,,median bulb
1,accordioncollapseOne001,https://nematode.unl.edu/appus2.jpg,Aphelenchoides,,,,,,,head
1,accordioncollapseOne001,https://nematode.unl.edu/appus3.jpg,Aphelenchoides,,,,,,,vulva
1,accordioncollapseOne001,https://nematode.unl.edu/appus4.jpg,Aphelenchoides,,,,,,,tail
1,accordioncollapseOne001,https://nematode.unl.edu/appus5.jpg,Aphelenchoides,,,,,,,tail tip
1,accordioncollapseOne001,https://nematode.unl.edu/appus6.jpg,Aphelenchoides,,,,,,,vulva
1,accordioncollapseOne001,https://nematode.unl.edu/appus7.jpg,Aphelenchoides,,,,,,,basal esophagus
1,accordioncollapseOne001,https://nematode.unl.edu/appus8.jpg,Aphelenchoides,,,,,,,median bulb
1,accordioncollapseOne001,https://nematode.unl.edu/appus9.jpg,Aphelenchoides,,,,,,,head
1,accordioncollapseOne001,https://nematode.unl.edu/appuscmp.jpg,Aphelenchoides,,,,,,,compare
1,accordioncollapseOne001,https://nematode.unl.edu/asac1.jpg,Aphelenchoides,,,,,,,body
1,accordioncollapseOne001,https://nematode.unl.edu/asac2.jpg,Aphelenchoides,,,,,,,head
1,accordioncollapseOne001,https://nematode.unl.edu/asac3.jpg,Aphelenchoides,,,,,,,vulva
1,accordioncollapseOne001,https://nematode.unl.edu/asaccmp.jpg,Aphelenchoides,,,,,,,compare
1,accordioncollapseOne001,https://nematode.unl.edu/asack1.jpg,Aphelenchoides,,,,,,,body
1,accordioncollapseOne001,https://nematode.unl.edu/asack2.jpg,Aphelenchoides,,,,,,,head
1,accordioncollapseOne001,https://nematode.unl.edu/asack3.jpg,Aphelenchoides,,,,,,,spicules
1,accordioncollapseOne001,https://nematode.unl.edu/asack4.jpg,Aphelenchoides,,,,,,,head
1,accordioncollapseOne001,https://nematode.unl.edu/asack5.jpg,Aphelenchoides,,,,,,,spicules
1,accordioncollapseOne001,https://nematode.unl.edu/bathyoc1.jpg,Bathyodontus,,,,,,,body
1,accordioncollapseOne001,https://nematode.unl.edu/bathyoc10.jpg,Bathyodontus,,,,,,,amphid
1,accordioncollapseOne001,https://nematode.unl.edu/bathyoc11.jpg,Bathyodontus,,,,,,,cardia
1,accordioncollapseOne001,https://nematode.unl.edu/bathyoc12.jpg,Bathyodontus,,,,,,,vulva
1,accordioncollapseOne001,https://nematode.unl.edu/bathyoc13.jpg,Bathyodontus,,,,,,,tail
1,accordioncollapseOne001,https://nematode.unl.edu/bathyoc2.jpg,Bathyodontus,,,,,,,anterior
1,accordioncollapseOne001,https://nematode.unl.edu/bathyoc3.jpg,Bathyodontus,,,,,,,vulva
1,accordioncollapseOne001,https://nematode.unl.edu/bathyoc4.jpg,Bathyodontus,,,,,,,tail
1,accordioncollapseOne001,https://nematode.unl.edu/bathyoc5.jpg,Bathyodontus,,,,,,,vulva
1,accordioncollapseOne001,https://nematode.unl.edu/bathyoc6.jpg,Bathyodontus,,,,,,,head
1,accordioncollapseOne001,https://nematode.unl.edu/bathyoc7.jpg,Bathyodontus,,,,,,,head/stoma/tooth
