Table S1. Identification and collection information for all specimens submitted to BOLD in this study.,,,,
NID #,Species name,Collection location,GenBank COI Acc. #,Other GenBank Accessions associated with the specimen
N3418,Bakernema inaequale,"USA: Snake Den Ridge, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710652,
N3419,Bakernema inaequale,"USA: Snake Den Ridge, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710653,
N3499,Bakernema inaequale,"USA: Cataloochee, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MN710654,
N5580,Bakernema inaequale,"USA: Hubbard Brook LTER, Grafton County, New Hampshire",MN710655,
N5581,Bakernema inaequale,"USA: Hubbard Brook LTER, Grafton County, New Hampshire",MN710656,
N5589,Bakernema inaequale,"USA: Tuskegee National Forest, Macon County, Alabama",MN710657,
N5590,Bakernema inaequale,"USA: Tuskegee National Forest, Macon County, Alabama",MN710658,
N5591,Bakernema inaequale,"USA: Tuskegee National Forest, Macon County, Alabama",MN710659,
N5626,Bakernema inaequale,"USA: Tuskegee National Forest, Macon County, Alabama",MN710660,
N5630,Bakernema inaequale,"USA: Tuskegee National Forest, Macon County, Alabama",MN710661,
N5635,Bakernema inaequale,"USA: Tuskegee National Forest, Macon County, Alabama",MN710662,
N5847,Bakernema inaequale,"USA: Simes Tract, Harvard Forest LTER, Worcester County, Massachusetts",MN710663,
N5850,Bakernema inaequale,"USA: Simes Tract, Harvard Forest LTER, Worcester County, Massachusetts",MN710664,
N5999,Bakernema inaequale,"USA: Hubbard Brook LTER, Grafton County, New Hampshire",MN710665,
N8792,Bakernema inaequale,"USA: Brendan C. Byrne State Forest, Burlington County, New Jersey",MN710666,
N9228,Bakernema inaequale,"USA: Heath 48, Site 2, Maddron Bald Trail, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710667,
N9245,Bakernema inaequale,"USA: Heath 48, Site 2, Maddron Bald Trail, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710668,
N993,Criconema acriculum,"USA: Albright Grove, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",KX290549,
N2725,Criconema acriculum,"USA: Gregory Bald, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",KX290550,
N2878,Criconema acriculum,"USA: Snake Den Ridge, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",KX290551,
N2880,Criconema acriculum,"USA: Snake Den Ridge, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710669,
N2881,Criconema acriculum,"USA: Snake Den Ridge, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710670,
N2883,Criconema acriculum,"USA: Snake Den Ridge, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710671,
N2888,Criconema acriculum,"USA: Snake Den Ridge, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710672,
N2889,Criconema acriculum,"USA: Snake Den Ridge, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710673,
N2890,Criconema acriculum,"USA: Snake Den Ridge, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710674,
N3388,Criconema acriculum,"USA: Albright Grove, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",KX290552,
N3406,Criconema acriculum,"USA: Gregory Bald, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",KX290553,
N3407,Criconema acriculum,"USA: Gregory Bald, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",KX290554,
N3411,Criconema acriculum,"USA: Gregory Bald, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",KX290555,
N3413,Criconema acriculum,"USA: Gregory Bald, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",KX290556,
N5978,Criconema acriculum,"USA: Brushy Mountain, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710675,KX344496 (NC18S)
N5979,Criconema acriculum,"USA: Brushy Mountain, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KX290557,
N5980,Criconema acriculum,"USA: Brushy Mountain, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KX290558,
N5992,Criconema acriculum,"USA: Brushy Mountain, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KX290559,
N7108,Criconema acriculum,"USA: Maddron Bald Trail, Heath 58, Site 1, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710676,
N9244,Criconema acriculum,"USA: Heath 48, Site 2, Maddron Bald Trail, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710677,
N9403,Criconema acriculum,"USA: Heath 58, Site 2, Maddron Bald Trail, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710678,
N9420,Criconema acriculum,"USA: Heath 58, Site 2, Maddron Bald Trail, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710679,
N20,Criconema crotaloides,"USA: Silver Falls State Park, Marion County, Oregon",MN710680,HM116022 (18S-3’)
N750,Criconema crotaloides,"USA: Black Hills National Forest, Meade County, South Dakota",MN710681,
N1467,Criconema crotaloides,"USA: Bangtail Ridge, Custer Gallatin National Forest, Gallatin County, Montana",MN710682,
N2583,Criconema crotaloides,"USA: Purchase Knob, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MN710683,
N3042,Criconema crotaloides,"USA: Hayden Prairie State Preserve, Howard County, Iowa",MN710684,
N3043,Criconema crotaloides,"USA: Hayden Prairie State Preserve, Howard County, Iowa",MN710685,
N5539,Criconema crotaloides,"USA: Routt National Forest, Jackson County, Colorado",MN710686,
N5542,Criconema crotaloides,"USA: Routt National Forest, Jackson County, Colorado",MN710687,
N5543,Criconema crotaloides,"USA: Routt National Forest, Jackson County, Colorado",MN710688,
N5558,Criconema crotaloides,"USA: Emigration Canyon, Wasatch and Uinta National Forest, Salt Lake County, Utah",MN710689,
N5739,Criconema crotaloides,"USA: Whiskey Springs Trail, Uinta National Forest, Wasatch County, Utah",MN710690,
N5789,Criconema crotaloides,"USA: Angel Creek Lake, Humbolt National Forest, Elko County, Nevada",MN710691,
N5790,Criconema crotaloides,"USA: Angel Creek Lake, Humbolt National Forest, Elko County, Nevada",MN710692,
N5791,Criconema crotaloides,"USA: Angel Creek Lake, Humbolt National Forest, Elko County, Nevada",MN710693,
N5792,Criconema crotaloides,"USA: Angel Creek Lake, Humbolt National Forest, Elko County, Nevada",MN710694,
N5812,Criconema crotaloides,"USA: Douglas County, Oregon",MN710695,
N5817,Criconema crotaloides,"USA: Douglas County, Oregon",MN710696,
N5818,Criconema crotaloides,"USA: Douglas County, Oregon",MN710697,
N5821,Criconema crotaloides,"USA: North Umpqua Trail, Douglas County, Oregon",MN710698,
N9354,Criconema crotaloides,"USA: Medicine Bow National Forest, Albany County, Wyoming",MN710699,
N2722,Criconema longulum,"USA: Gregory Bald, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",MN710700,
N2723,Criconema longulum,"USA: Gregory Bald, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",MN710701,
N2724,Criconema longulum,"USA: Gregory Bald, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",MF770910,KX344495 (NC18S)
N1483,Criconema loofi,"USA: Neches Bottom and Jack Gore Baygall Unit (NBJG), Big Thicket National Preserve (BITH), Hardin County, Texas",KX290560,
N1488,Criconema loofi,"USA: Big Sandy Creek Unit, Big Thicket National Preserve (BITH), Polk County, Texas",KX290561,
N1490,Criconema loofi,"USA: Neches Bottom and Jack Gore Baygall Unit (NBJG), Big Thicket National Preserve (BITH), Hardin County, Texas",KU236639,
N2634,Criconema loofi,"USA: Brushy Mountain, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KX290562,
N2635,Criconema loofi,"USA: Brushy Mountain, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KX290563,
N2669,Criconema loofi,"USA: Brushy Mountain, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KX290564,
N2670,Criconema loofi,"USA: Brushy Mountain, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KX290565,
N3104,Criconema loofi,"USA: Ponce de Leon State Park, Holmes County, Florida",KX290566,
N3148,Criconema loofi,"USA: Ponce de Leon State Park, Holmes County, Florida",KX290567,
N3149,Criconema loofi,"USA: Ponce de Leon State Park, Holmes County, Florida",KX290568,
N3150,Criconema loofi,"USA: Ponce de Leon State Park, Holmes County, Florida",KX290569,
N3151,Criconema loofi,"USA: Ponce de Leon State Park, Holmes County, Florida",KX290570,
N3152,Criconema loofi,"USA: Ponce de Leon State Park, Holmes County, Florida",KX290571,
N3652,Criconema loofi,"USA: Neches Bottom and Jack Gore Baygall Unit (NBJG), Big Thicket National Preserve (BITH), Hardin County, Texas",KX290572,
N5666,Criconema loofi,"USA: Big Sandy Creek Unit, Big Thicket National Preserve (BITH), Polk County, Texas",KX290573,
N5667,Criconema loofi,"USA: Big Sandy Creek Unit, Big Thicket National Preserve (BITH), Polk County, Texas",KX290574,
N5673,Criconema loofi,"USA: Big Sandy Creek Unit, Big Thicket National Preserve (BITH), Polk County, Texas",KX290575,
N7121,Criconema loofi,"USA: Torreya State Park, Liberty County, Florida",MN710702,
N7123,Criconema loofi,"USA: Torreya State Park, Liberty County, Florida",MN710703,
N1268,Criconema mutabile,"USA: Fresno County, California",MN710704,
N1269,Criconema mutabile,"USA: Fresno County, California",MN710705,
N1328,Criconema mutabile,"USA: Fresno County, California",KU236637,MF094914 (NC18S)
N2572,Criconema mutabile,"USA: Santa Cruz Island Reserve, Santa Barbara County, California",MN710706,
N2589,Criconema mutabile,"USA: Santa Cruz Island Reserve, Santa Barbara County, California",MN710707,
N3432,Criconema mutabile,"USA: Black Earth Prairie, Oaky Woods Wildlife Management Area, Houston County, Georgia",MF770948,MF094998 (NC18S)
N3433,Criconema mutabile,"USA: Black Earth Prairie, Oaky Woods Wildlife Management Area, Houston County, Georgia",MN710708,
N6967,Criconema mutabile,Iran: Fars,MN710709,
N6971,Criconema mutabile,Iran: Fars,MN710710,
N921,Criconema permistum,"USA: Laurel Falls Trail, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710711,
N922,Criconema permistum,"USA: Laurel Falls Trail, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710712,
N923,Criconema permistum,"USA: Laurel Falls Trail, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MF770891,MF094899 (NC18S)
N927,Criconema permistum,"USA: Laurel Falls Trail, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MF770892,MF094900 (NC18S)
N1302,Criconema permistum,"USA: Great Falls Park, George Washington Memorial Parkway (GWMP), Fairfax County, Virginia",MN710713,
N1306,Criconema permistum,"USA: Great Falls Park, George Washington Memorial Parkway (GWMP), Fairfax County, Virginia",MN710714,
N1404,Criconema permistum,"USA: Leiter Mansion Ruins, George Washington Memorial Parkway (GWMP), Fairfax County, VA",MF770900,MF094920 (NC18S)
N1419,Criconema permistum,"USA: Dyke Marsh Wildlife Preserve, George Washington Memorial Parkway (GWMP), Fairfax County, Virginia",MN710715,
N1447,Criconema permistum,"USA: Roaches Run Waterfowl Sanctuary, George Washington Memorial Parkway (GWMP), Arlington County, Virginia",MN710716,
N1452,Criconema permistum,"USA: Roaches Run Waterfowl Sanctuary, George Washington Memorial Parkway (GWMP), Arlington County, Virginia",MN710717,
N2177,Criconema permistum,"USA: Ft. Marcy, George Washington Memorial Parkway (GWMP), Arlington County, Virginia",MN710718,
N2179,Criconema permistum,"USA: Ft. Marcy, George Washington Memorial Parkway (GWMP), Arlington County, Virginia",MN710719,
N3096,Criconema permistum,"USA: Tunica Hills State Wildlife Refuge, West Feliciana Parish, Louisiana",KU236642,
N3097,Criconema permistum,"USA: Tunica Hills State Wildlife Refuge, West Feliciana Parish, Louisiana",MN710720,
N3123,Criconema permistum,"USA: Tunica Hills State Wildlife Refuge, West Feliciana Parish, Louisiana",MN710721,
N3205,Criconema permistum,"USA: Ichetucknee Springs State Park, Columbia County, Florida",MN710722,
N3218,Criconema permistum,"USA: Purchase Knob, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MN710723,
N3319,Criconema permistum,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710724,
N3336,Criconema permistum,"USA: Torreya State Park, Liberty County, Florida",MN710725,
N3348,Criconema permistum,"USA: Torreya State Park, Liberty County, Florida",MN710726,
N3350,Criconema permistum,"USA: Torreya State Park, Liberty County, Florida",MN710727,
N3471,Criconema permistum,"USA: Bald Cypress Swamp, Wakulla Springs State Park, Wakulla County, Florida",MN710728,
N3498,Criconema permistum,"USA: Cataloochee, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MN710729,
N3602,Criconema permistum,"USA: Canyonlands-South Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN710730,
N3655,Criconema permistum,"USA: Homestead Oak, Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710731,
N3659,Criconema permistum,"USA: Homestead Oak, Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710732,
N4193,Criconema permistum,"USA: Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710733,
N4196,Criconema permistum,"USA: Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710734,
N4198,Criconema permistum,"USA: Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710735,
N4204,Criconema permistum,"USA: Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710736,
N4286,Criconema permistum,"USA: Canyonlands-South Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN710737,
N4297,Criconema permistum,"USA: Canyonlands-South Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN710738,
N4311,Criconema permistum,"USA: Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710739,
N4312,Criconema permistum,"USA: Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710740,
N4316,Criconema permistum,"USA: Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710741,
N4317,Criconema permistum,"USA: Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710742,
N4320,Criconema permistum,"USA: Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710743,
N5701,Criconema permistum,"USA: Homestead Oak, Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710744,
N5703,Criconema permistum,"USA: Homestead Oak, Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710745,
N7231,Criconema permistum,"USA: Rio Arriba County, New Mexico",MN710746,
N7232,Criconema permistum,"USA: Rio Arriba County, New Mexico",MN710747,
N7257,Criconema permistum,"USA: Rio Arriba County, New Mexico",MN710748,
N9432,Criconema permistum,"USA: Grahamwood Forest, Yancey County, North Carolina",MN710749,
N9496,Criconema permistum,"USA: Angeline Conservation Area, Glade 102, Shannon County, Missouri",MN710750,
N2522,Criconema petasum,"USA: Michigan State University Water Quality Research Site, Ingham County, Michigan",MF770906,MF094927 (NC18S)
N2740,Criconema petasum,"USA: Purchase Knob, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MN710751,
N2741,Criconema petasum,"USA: Purchase Knob, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MN710752,
N2856,Criconema petasum,"USA: Double Springs Gap, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710753,
N2993,Criconema petasum,"USA: Gifford Woods State Park, Rutland County, Vermont",KU236641, MF094958 (NC18S)
N2994,Criconema petasum,"USA: Gifford Woods State Park, Rutland County, Vermont",MF770930,MF094959 (NC18S)
N8279,Criconema petasum,"Canada: Mt. St. Hilaire, Quebec",MN710754,
N9013,Criconema petasum,"Canada: Mt. St. Hilaire, Quebec",MN710755,
N715,Criconema sp.,"USA: Williams Prairie State Preserve, Johnson County, Iowa",MN710756,
N831,Criconema sp.,"USA: Sheeder Prairie State Preserve, Guthrie County, Iowa",MN710757,
N1247,Criconema sp.,"USA: Nine-Mile Prairie, Section E, Lancaster County, Nebraska",MF770897,MF094910 (NC18S)
N1396,Criconema sp.,"USA: Turkey Run Trail, George Washington Memorial Parkway (GWMP), Fairfax County, Virginia",MN710758,
N1399,Criconema sp.,"USA: Nine-Mile Prairie, Section G, Lancaster County, Nebraska",MF770899,MF094919 (NC18S)
N1408,Criconema sp.,"USA: Nine-Mile Prairie, Section G, Lancaster County, Nebraska",MN710759,
N2460,Criconema sp.,"USA: Beaumont Unit, Big Thicket National Preserve (BITH), Orange County, Texas",MF770904,MF094925 (NC18S)
N2686,Criconema sp.,"USA: Auburn University Turf Unit, Lee County, AL",MF770908,MF094931 (NC18S)
N3093,Criconema sp.,"USA: Hayden Prairie State Preserve, Howard County, Iowa",MN710760,
N3094,Criconema sp.,"USA: Hayden Prairie State Preserve, Howard County, Iowa",MN710761,
