Table S1. Identification and collection information for all specimens submitted to BOLD in this study.,,,,
NID #,Species name,Collection location,GenBank COI Acc. #,Other GenBank Accessions associated with the specimen
N2807,Criconema sphagni,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MF770917,MF094941 (NC18S)
N2808,Criconema sphagni,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MF770918,MF094942 (NC18S)
N2818,Criconema sphagni,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710802,
N2819,Criconema sphagni,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710803,
N2828,Criconema sphagni,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710804,
N2946,Criconema sphagni,"USA: West Point, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710805,
N2947,Criconema sphagni,"USA: West Point, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710806,
N2949,Criconema sphagni,"USA: West Point, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710807,
N2950,Criconema sphagni,"USA: West Point, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710808,
N2961,Criconema sphagni,"USA: West Point, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710809,
N2965,Criconema sphagni,"USA: West Point, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710810,
N2966,Criconema sphagni,"USA: West Point, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",KU236640,
N2967,Criconema sphagni,"USA: West Point, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710811,
N2968,Criconema sphagni,"USA: West Point, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710812,
N3007,Criconema sphagni,"USA: Goshen Prong, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710813,
N3067,Criconema sphagni,"USA: Cataloochee, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MF770938,MF094968 (NC18S)
N3069,Criconema sphagni,"USA: Cataloochee, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MF770939,MF094970 (NC18S)
N3103,Criconema sphagni,"USA: Cataloochee, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MN710814,
N3127,Criconema sphagni,"USA: Cataloochee, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MN710815,
N3137,Criconema sphagni,"USA: Cataloochee, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MN710816,
N3219,Criconema sphagni,"USA: Purchase Knob, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MN710817,
N3220,Criconema sphagni,"USA: Purchase Knob, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MF770944,MF094982 (NC18S)
N3222,Criconema sphagni,"USA: Purchase Knob, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MN710818,
N3251,Criconema sphagni,"USA: Oconaluftee, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",MN710819,
N3276,Criconema sphagni,"USA: Oconaluftee, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",MN710820,
N3351,Criconema sphagni,"USA: Raspberry Island, Apostle Islands National Lakeshore, Bayfield County, Wisconsin",MN710821,
N3352,Criconema sphagni,"USA: Raspberry Island, Apostle Islands National Lakeshore, Bayfield County, Wisconsin",MN710822,
N3354,Criconema sphagni,"USA: Raspberry Island, Apostle Islands National Lakeshore, Bayfield County, Wisconsin",MN710823,
N3355,Criconema sphagni,"USA: Raspberry Island, Apostle Islands National Lakeshore, Bayfield County, Wisconsin",MN710824,
N3375,Criconema sphagni,"USA: Raspberry Island, Apostle Islands National Lakeshore, Bayfield County, Wisconsin",MN710825,
N3480,Criconema sphagni,"USA: West Point, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710826,
N3490,Criconema sphagni,"USA: West Point, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710827,
N5512,Criconema sphagni,"USA: Little Greenbrier Trail, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710828,
N5513,Criconema sphagni,"USA: Little Greenbrier Trail, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710829,
N5521,Criconema sphagni,"USA: Little Greenbrier Trail, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710830,
N5522,Criconema sphagni,"USA: Little Greenbrier Trail, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710831,
N5523,Criconema sphagni,"USA: Little Greenbrier Trail, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710832,
N5524,Criconema sphagni,"USA: Little Greenbrier Trail, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710833,
N5839,Criconema sphagni,"USA: Simes Tract, Harvard Forest LTER, Worcester County, Massachusetts",MN710834,
N5841,Criconema sphagni,"USA: Simes Tract, Harvard Forest LTER, Worcester County, Massachusetts",MN710835,
N5844,Criconema sphagni,"USA: Simes Tract, Harvard Forest LTER, Worcester County, Massachusetts",MN710836,
N5845,Criconema sphagni,"USA: Simes Tract, Harvard Forest LTER, Worcester County, Massachusetts",MN710837,
N5849,Criconema sphagni,"USA: Simes Tract, Harvard Forest LTER, Worcester County, Massachusetts",MN710838,
N5851,Criconema sphagni,"USA: Simes Tract, Harvard Forest LTER, Worcester County, Massachusetts",MN710839,
N7136,Criconema sphagni,"USA: Heath 58, Site 2, Maddron Bald Trail, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710840,
N9204,Criconema sphagni,"USA: Heath 48, Site 1, Maddron Bald Trail, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710841,
N9234,Criconema sphagni,"USA: Heath 48, Site 2, Maddron Bald Trail, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710842,
N599,Criconemoides annulatus,"USA: San Juan National Forest, Archuleta County, Colorado",MN710843,"JF972465 (18S-3’),"
N603,Criconemoides annulatus,"USA: San Juan National Forest, Archuleta County, Colorado",MN710844,JF972466 (18S-3’)
N748,Criconemoides annulatus,"USA: Black Hills National Forest, Meade County, South Dakota",MN710845,
N749,Criconemoides annulatus,"USA: Black Hills National Forest, Meade County, South Dakota",MN710846,
N1099,Criconemoides annulatus,"USA: Custer Gallatin National Forest, Park County, Montana",MF770893,MF094901 (NC18S)
N3669,Criconemoides annulatus,"USA: Canyonlands-North Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MF770952,MF095008 (NC18S)
N3671,Criconemoides annulatus,"USA: Canyonlands-North Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN710847,
N3672,Criconemoides annulatus,"USA: Canyonlands-North Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN710848,
N5565,Criconemoides annulatus,"USA: Emigration Canyon, Wasatch and Uinta National Forest, Salt Lake County, UT",MF770956,MF095015 (NC18S)
N5566,Criconemoides annulatus,"USA: Emigration Canyon, Wasatch and Uinta National Forest, Salt Lake County, UT",MF770957,MF095016 (NC18S)
N5741,Criconemoides annulatus,"USA: Whiskey Springs Trail, Uinta National Forest, Wasatch County, Utah",MN710849,
N5765,Criconemoides annulatus,"USA: Roosevelt National Forest, Larimer County, Colorado",MF770961,MF095024 (NC18S)
N5766,Criconemoides annulatus,"USA: Roosevelt National Forest, Larimer County, Colorado",MN710850,
N5767,Criconemoides annulatus,"USA: Roosevelt National Forest, Larimer County, Colorado",MN710851,
N5778,Criconemoides annulatus,"USA: Uncompahgre National Forest, San Miguel County, Colorado",MN710852,
N5779,Criconemoides annulatus,"USA: Uncompahgre National Forest, San Miguel County, Colorado",MN710853,
N5780,Criconemoides annulatus,"USA: Uncompahgre National Forest, San Miguel County, Colorado",MN710854,
N5781,Criconemoides annulatus,"USA: Uncompahgre National Forest, San Miguel County, Colorado",MN710855,
N7125,Criconemoides annulatus,"Canada: Mt. St. Hilaire, Quebec",MN710856,
N8281,Criconemoides annulatus,"Canada: Mt. St. Hilaire, Quebec",MN710857,
N9128,Criconemoides annulatus,"USA: Snowy Range, Medicine Bow-Routt National Forest, Albany County, Wyoming",MN710858,
N9145,Criconemoides annulatus,"USA: Snowy Range, Medicine Bow-Routt National Forest, Albany County, Wyoming",MN710859,
N1059,Criconemoides informis,"USA: Custer Gallatin National Forest, Park County, Montana",KJ787839,
N1096,Criconemoides informis,"USA: Custer Gallatin National Forest, Park County, Montana",KJ787840,
N1100,Criconemoides informis,"USA: Custer Gallatin National Forest, Park County, Montana",KJ787841,
N1101,Criconemoides informis,"USA: Custer Gallatin National Forest, Park County, Montana",KJ787842,MF094902 (NC18S)
N5538,Criconemoides informis,"USA: Routt National Forest, Jackson County, Colorado",MN710860,
N5544,Criconemoides informis,"USA: Routt National Forest, Jackson County, Colorado",MN710861,
N5750,Criconemoides informis,"USA: Coconino National Forest, Coconino County, Arizona",MN710862,
N5782,Criconemoides informis,"USA: Uncompahgre National Forest, San Miguel County, Colorado",MN710863,
N5783,Criconemoides informis,"USA: Uncompahgre National Forest, San Miguel County, Colorado",MN710864,
N5784,Criconemoides informis,"USA: Uncompahgre National Forest, San Miguel County, Colorado",MN710865,
N5785,Criconemoides informis,"USA: Uncompahgre National Forest, San Miguel County, Colorado",MN710866,
N5788,Criconemoides informis,"USA: Uncompahgre National Forest, San Miguel County, Colorado",MF770962,MF095025 (NC18S)
N6840,Criconemoides informis,Iran: Fars,MN711065,
N6931,Criconemoides informis,Iran: Fars,MN710893,
N7167,Criconemoides informis,"USA: Yuma County, Colorado",MN710867,
N9363,Criconemoides informis,"USA: Medicine Bow National Forest, Albany County, Wyoming",MN710868,
N9368,Criconemoides informis,"USA: Medicine Bow National Forest, Albany County, Wyoming",MN710869,
P214076,Criconemoides informis,"Mexico: Xalatlaco, Estado de Mexico",MN710870,FJ489591 (18S-3’)
P214077,Criconemoides informis,"Mexico: Xalatlaco, Estado de Mexico",MN710871,FJ489592 (18S-3’)
P119007,Criconemoides inusitatus,"USA: Pammel Woods, Story County, Iowa",MN710872,FJ489521 (18S-3’)
P119009,Criconemoides inusitatus,"USA: Pammel Woods, Story County, Iowa",MN710873,FJ489522 (18S-3’)
P119012,Criconemoides inusitatus,"USA: Kent County, Delaware",MN710874,FJ489525 (18S-3’)
N263,Criconemoides sp.,"USA: Hitchcock County, Nebraska",KY574818,
N264,Criconemoides sp.,"USA: Hitchcock County, Nebraska",MN710875,
N1143,Criconemoides sp.,"USA: Cady's Marsh State Natural Area, Sauk County, Wisconsin",MN710876,
N1482,Criconemoides sp.,"USA: Neches Bottom and Jack Gore Baygall Unit (NBJG), Big Thicket National Preserve (BITH), Hardin County, Texas",MN710877,
N3268,Criconemoides sp.,"Thailand: No Boh Forest, Tha Song Yang County, TAK",KU236643,
N3269,Criconemoides sp.,"Thailand: No Boh Forest, Tha Song Yang County, TAK",MN710878,
N3647,Criconemoides sp.,"USA: Neches Bottom and Jack Gore Baygall Unit (NBJG), Big Thicket National Preserve (BITH), Hardin County, Texas",MN710879,
N5546,Criconemoides sp.,"Thailand: No Boh Forest, Tha Song Yang County, TAK",MN710880,
N5547,Criconemoides sp.,"Thailand: No Boh Forest, Tha Song Yang County, TAK",MN710881,
N5548,Criconemoides sp.,"Thailand: No Boh Forest, Tha Song Yang County, TAK",MN710882,
N5550,Criconemoides sp.,"Thailand: No Boh Forest, Tha Song Yang County, TAK",MN710883,
N5551,Criconemoides sp.,"Thailand: No Boh Forest, Tha Song Yang County, TAK",MN710884,
N5552,Criconemoides sp.,"Thailand: No Boh Forest, Tha Song Yang County, TAK",MN710885,
N6831,Criconemoides sp.,Iran: Fars,MN710886,
N6835,Criconemoides sp.,Iran: Fars,MN710887,
N6852,Criconemoides sp.,Iran: Fars,MN710888,
N6854,Criconemoides sp.,Iran: Fars,MN710889,
N6886,Criconemoides sp.,Iran: Fars,MN710890,
N6902,Criconemoides sp.,Iran: Fars,MN710891,
N6914,Criconemoides sp.,Iran: Fars,MN710892,
N6933,Criconemoides sp.,Iran: Fars,MN710894,
N6937,Criconemoides sp.,Iran: Fars,MN710895,
N9380,Criconemoides sp.,"Poland: Dabrowka, Warmian-Masuria",MN710896,
N9394,Criconemoides sp.,"Poland: Dabrowka, Warmian-Masuria",MN710897,
N9523,Criconemoides sp.,"USA: Angeline Conservation Area, Glade 102, Shannon County, Missouri",MN710898,
P183021,Criconemoides sp.,Costa Rica: Heredia Province,MN710899,FJ489543 (18S-3’)
N1279,Criconemoides sphaerocephalum,"USA: Spring Creek Prairie, Lancaster County, Nebraska",KY574837,
N1280,Criconemoides sphaerocephalum,"USA: Spring Creek Prairie, Lancaster County, Nebraska",KY574838,
N1288,Criconemoides sphaerocephalum,"USA: Spring Creek Prairie, Lancaster County, Nebraska",MF770898,MF094912 (NC18S)
N1290,Criconemoides sphaerocephalum,"USA: Spring Creek Prairie, Lancaster County, Nebraska",KY574839,
N1454,Criconemoides sphaerocephalum,"USA, Juan Diaz County, Puerto Rico",KU236638,
N1455,Criconemoides sphaerocephalum,"USA, Juan Diaz County, Puerto Rico",MF770901,MF094921 (NC18S)
N2649,Criconemoides sphaerocephalum,"USA: Auburn University Turf Unit, Lee County, AL",KY574840,
N3200,Criconemoides sphaerocephalum,"USA: Ichetucknee Springs State Park, Columbia County, Florida",KY574841,
N3244,Criconemoides sphaerocephalum,"USA: Oconaluftee, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",KY574842,
N7032,Criconemoides sphaerocephalum,"USA: Spring Creek Prairie, Lancaster County, Nebraska",KY574843,
N314,Crossonema fimbriatum,"USA: Serpentine Grasslands, Baltimore County, Maryland",MN710900,HM116045 (18S-3’)
N581,Crossonema fimbriatum,"USA: Lower Econfina River Wildlife Management Area, Taylor County, Florida",MN710901,
N1208,Crossonema fimbriatum,"USA: Pine Cliff State Natural Area, Govenor Dodge State Park, Iowa County, Wisconsin",MN710902,
N1486,Crossonema fimbriatum,"USA: Arlington Woods, George Washington Memorial Parkway (GWMP), Arlington County, Virginia",MN710903,
N2995,Crossonema fimbriatum,"USA: Gifford Woods State Park, Rutland County, Vermont",MF770931,MF094960 (NC18S)
N4212,Crossonema fimbriatum,"USA: Canyonlands-South Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN710904,
N4226,Crossonema fimbriatum,"USA: Canyonlands-South Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN710905,
N5625,Crossonema fimbriatum,"USA: Beech Creek Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN710906,
N5838,Crossonema fimbriatum,"USA: Simes Tract, Harvard Forest LTER, Worcester County, Massachusetts",MN710907,
N5840,Crossonema fimbriatum,"USA: Simes Tract, Harvard Forest LTER, Worcester County, Massachusetts",MN710908,
N5842,Crossonema fimbriatum,"USA: Simes Tract, Harvard Forest LTER, Worcester County, Massachusetts",MF770963,MF095026 (NC18S)
N5843,Crossonema fimbriatum,"USA: Simes Tract, Harvard Forest LTER, Worcester County, Massachusetts",MF770964,MF095027 (NC18S)
N5846,Crossonema fimbriatum,"USA: Simes Tract, Harvard Forest LTER, Worcester County, Massachusetts",MN710909,
N5857,Crossonema fimbriatum,"USA: Tom Swamp North, Harvard Forest LTER, Worcester County, Massachusetts",MN710910,
N254,Crossonema menzeli,"USA: Oconnee National Forest, Indian Springs State Park, Butts County, Georgia",MN710911,HM116032 (18S-3’)
N721,Crossonema menzeli,"USA: Le Conte Boulevard, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710912,JF972480 (18S-3’)
N722,Crossonema menzeli,"USA: Le Conte Boulevard, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710913,JF972481 (18S-3’)
N1176,Crossonema menzeli,"USA: Spring Green Prairie Preserve, Sauk County, Wisconsin",MN710914,
N1464,Crossonema menzeli,"USA: Purchase Knob, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MN710915,
N1473,Crossonema menzeli,"USA: Indian Gap, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",MN710916,
N1474,Crossonema menzeli,"USA: Indian Gap, Great Smoky Mountains National Park (GRSM), Swain County, North Carolina",MN710917,
N2755,Crossonema menzeli,"USA: Trillium Gap, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MF770911,MF094934 (NC18S)
N2760,Crossonema menzeli,"USA: Ward Lake, Tongass National Forest, Ketchikan Gateway Borough, Alaska",MN710918,
N2761,Crossonema menzeli,"USA: Ward Lake, Tongass National Forest, Ketchikan Gateway Borough, Alaska",MF770914,MF094937 (NC18S)
N2762,Crossonema menzeli,"USA: Ward Lake, Tongass National Forest, Ketchikan Gateway Borough, Alaska",MF770915,MF094938 (NC18S)
N2868,Crossonema menzeli,"USA: Double Springs Gap, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710919,
N2875,Crossonema menzeli,"USA: Snake Den Ridge, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710920,
N2876,Crossonema menzeli,"USA: Snake Den Ridge, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710921,
N2879,Crossonema menzeli,"USA: Snake Den Ridge, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710922,
N2884,Crossonema menzeli,"USA: Snake Den Ridge, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710923,
N2948,Crossonema menzeli,"USA: West Point, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MF770922,MF094950 (NC18S)
N2953,Crossonema menzeli,"USA: West Point, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710924,
N2963,Crossonema menzeli,"USA: West Point, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710925,
N2964,Crossonema menzeli,"USA: West Point, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710926,
N2970,Crossonema menzeli,"USA: West Point, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710927,
N2971,Crossonema menzeli,"USA: West Point, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710928,
N3221,Crossonema menzeli,"USA: Purchase Knob, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MN710929,
N3225,Crossonema menzeli,"USA: Purchase Knob, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MN710930,
N3226,Crossonema menzeli,"USA: Purchase Knob, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MN710931,
N3292,Crossonema menzeli,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710932,
N3302,Crossonema menzeli,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710933,
N3303,Crossonema menzeli,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710934,
N3308,Crossonema menzeli,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710935,
N3309,Crossonema menzeli,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710936,
N3392,Crossonema menzeli,"USA: Patterson Hemlock's State Natural Area, Oneida County, Wisconsin",MN710937,
N3450,Crossonema menzeli,"Denmark: Velling Skov, Bryrup County, Midtjylland Province",MN710938,
N5568,Crossonema menzeli,"Norway: Ihlevangen, Akershus County, Ostlandet Province",MN710939,
N5571,Crossonema menzeli,"Norway: Ihlevangen, Akershus County, Ostlandet Province",MN710940,
N5719,Crossonema menzeli,"USA: Whitetail Creek, Black Hills National Forest, Lawrence County, South Dakota",MN710941,
N5720,Crossonema menzeli,"USA: Whitetail Creek, Black Hills National Forest, Lawrence County, South Dakota",MN710942,
N7103,Crossonema menzeli,"USA: Maddron Bald Trail, Heath 58, Site 1, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710943,
N7112,Crossonema menzeli,"USA: Maddron Bald Trail, Heath 58, Site 1, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710944,
N8280,Crossonema menzeli,"Canada: Mt. St. Hilaire, Quebec",MN710945,
N8296,Crossonema menzeli,"Canada: Mt. St. Hilaire, Quebec",MN710946,
N9231,Crossonema menzeli,"USA: Heath 48, Site 2, Maddron Bald Trail, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710947,
N9406,Crossonema menzeli,"USA: Heath 58, Site 2, Maddron Bald Trail, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710948,
N9433,Crossonema menzeli,"USA: Grahamwood Forest, Yancey County, North Carolina",MN710949,
N1398,Crossonema sp.,"USA: Turkey Run Trail, George Washington Memorial Parkway (GWMP), Fairfax County, Virginia",MN710950,
N2764,Crossonema sp.,"USA: Anderson County, South Carolina",MN710951,
N2989,Crossonema sp.,"USA: Gifford Woods State Park, Rutland County, Vermont",MF770927,MF094955 (NC18S)
N2992,Crossonema sp.,"USA: Gifford Woods State Park, Rutland County, Vermont",MF770929,MF094957 (NC18S)
N3383,Crossonema sp.,"USA: Albright Grove, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710952,
N3625,Crossonema sp.,"USA: Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710953,
N3973,Crossonema sp.,"USA: Kirby Creek Trail, Turkey Creek Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710954,
N3975,Crossonema sp.,"USA: Kirby Creek Trail, Turkey Creek Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710955,
N3976,Crossonema sp.,"USA: Kirby Creek Trail, Turkey Creek Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710956,
N3998,Crossonema sp.,"USA: Kirby Creek Trail, Turkey Creek Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710957,
N4094,Crossonema sp.,"USA: Hickory Creek Savannah Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710958,
N4136,Crossonema sp.,"USA: Canyonlands-South Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN710959,
N5674,Crossonema sp.,"USA: Big Sandy Creek Unit, Big Thicket National Preserve (BITH), Polk County, Texas",MN710960,
N5676,Crossonema sp.,"USA: Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710961,
N5929,Crossonema sp.,"USA: Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710962,
N5930,Crossonema sp.,"USA: Lance Rosier Unit, Big Thicket National Preserve (BITH), Hardin County, Texas",MN710963,
N7052,Crossonema sp.,Nepal: Chalti,MN710964,
N8420,Crossonema sp.,"USA: Canyonlands-South Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN710965,
N8428,Crossonema sp.,"USA: Canyonlands-South Unit, Big Thicket National Preserve (BITH), Tyler County, Texas",MN710966,
N8801,Crossonema sp.,"USA: Brendan C. Byrne State Forest, Burlington County, New Jersey",MN710967,
N8826,Crossonema sp.,"USA: Brendan C. Byrne State Forest, Burlington County, New Jersey",MN710968,
N8832,Crossonema sp.,"USA: Brendan C. Byrne State Forest, Burlington County, New Jersey",MN710969,
N8838,Crossonema sp.,"USA: Brendan C. Byrne State Forest, Burlington County, New Jersey",MN710970,
N8847,Crossonema sp.,"USA: Brendan C. Byrne State Forest, Burlington County, New Jersey",MN710971,
N9644,Crossonema sp.,"Rwanda: Northern, Cyizere",MN710972,
N9708,Crossonema sp.,"Rwanda: Northern, Baho",MN710973,
P132010,Discocriconemella limitanea,"Costa Rica: La Selva Biological Station, Plot 801",MN710974,EU879991 (18S-3’)
P132011,Discocriconemella limitanea,"Costa Rica: La Selva Biological Station, Plot 801",MN710975,EU879992 (18S-3’)
P138012,Discocriconemella limitanea,"Costa Rica: La Selva Biological Station, Plot 803",MN710976,EU880007 (18S-3’)
P138013,Discocriconemella limitanea,"Costa Rica: La Selva Biological Station, Plot 803",MN710977,EU880008 (18S-3’)
P138030,Discocriconemella limitanea,"Costa Rica: La Selva Biological Station, Plot 803",MN710978,EU880121 (18S-3’)
P151059,Discocriconemella limitanea,"Costa Rica: La Selva Biological Station, Plot 802",MN710979,FJ489539 (18S-3’)
P184026,Discocriconemella limitanea,"Costa Rica: OTS Las Cruces Biological Station, Puntarenas Province, Coto Brus County",MN710980,FJ489552 (18S-3’)
P184030,Discocriconemella limitanea,"Costa Rica: OTS Las Cruces Biological Station, Puntarenas Province, Coto Brus County",KJ788069,FJ489554 (18S-3’)
P184031,Discocriconemella limitanea,"Costa Rica: OTS Las Cruces Biological Station, Puntarenas Province, Coto Brus County",MN710981,"FJ489555 (18S-3’),  MF095032 (NC18S)"
N3270,Discocriconemella sp.,"Thailand: No Boh Forest, Tha Song Yang County, TAK",MF770946,MF094988 (NC18S)
N1453,Gracilacus capitatus,"USA: Andrews Bald, Great Smoky Mountains National Park (GRSM), North Carolina",MN710982,
N5744,Gracilacus sp.,"USA: Hyde Memorial State Park, Santa Fe National Forest, Santa Fe County, New Mexico",MN710983,
N5745,Gracilacus sp.,"USA: Hyde Memorial State Park, Santa Fe National Forest, Santa Fe County, New Mexico",MN710984,
N5748,Gracilacus sp.,"USA: Hyde Memorial State Park, Santa Fe National Forest, Santa Fe County, New Mexico",MF770960,MF095023 (NC18S)
N5921,Gracilacus wuae,"Canada: National Capital Region, Ontario",MF770965,MF095028 (NC18S)
N5922,Gracilacus wuae,"Canada: National Capital Region, Ontario",MF770966,MF095029 (NC18S)
N5923,Gracilacus wuae,"Canada: National Capital Region, Ontario",MN710985,
N3473,Hemicriconemoides californianus,"USA: Pelican Bay Trail, Santa Cruz Island Reserve, Santa Barbara County, California",MN710986,
N2765,Hemicriconemoides chitwoodi,"USA: Anderson County, South Carolina",MN710987,
N2766,Hemicriconemoides chitwoodi,"USA: Anderson County, South Carolina",MF770916,MF094939 (NC18S)
N5823,Hemicriconemoides minor,"Australia: Adelaide Hills, South Australia",MN710988,
N5825,Hemicriconemoides minor,"Australia: Adelaide Hills, South Australia",MN710989,
N5826,Hemicriconemoides minor,"Australia: Adelaide Hills, South Australia",MN710990,
N5832,Hemicriconemoides minor,"Australia: Adelaide Hills, South Australia",MN710991,
T302,Hemicriconemoides sp.,"USA: Talladega National Forest, Cleburne County, Alabama",MN710992,
N3271,Hemicriconemoides sp.,"Thailand: No Boh Forest, Tha Song Yang County, TAK",MN710993,
N5545,Hemicriconemoides sp.,"Thailand: No Boh Forest, Tha Song Yang County, TAK",MF770955,MF095013 (NC18S)
N7165,Hemicriconemoides sp.,"USA: O?ahu County, Hawaii",MN710994,
N7166,Hemicriconemoides sp.,"USA: O?ahu County, Hawaii",MN710995,
N7192,Hemicriconemoides sp.,"USA: Manatee County, Florida",MN710996,
N8600,Hemicriconemoides sp.,Nepal: Chalti,MN710997,
N1261,Hemicycliophora aquatica,"USA: Great Falls Park, George Washington Memorial Parkway (GWMP), Fairfax County, Virginia",KJ788066,MF094911 (NC18S)
N2590,Hemicycliophora californica,"USA: Santa Cruz Island Reserve, Santa Barbara County, California",MN710998,
N2962,Hemicycliophora floridensis,"USA: Hobe Sound National Wildlife Refuge, Martin County, Florida",MF770923,MF094951 (NC18S)
N1305,Hemicycliophora gracilis,"USA: Great Falls Park, George Washington Memorial Parkway (GWMP), Fairfax County, Virginia",KJ788068,
N8959,Hemicycliophora iberica,"Poland: Minsk County, Masovia",MN710999,
N449,Hemicycliophora sp.,Greece,KJ788065,JF972474 (18S-3’)
N1292,Hemicycliophora sp.,"USA: Great Falls Park, George Washington Memorial Parkway (GWMP), Fairfax County, Virginia",KJ788067,
N3040,Hemicycliophora sp.,"USA: Uinta-Wasatch-Cache National Forest, Wasatch County, UT",MF770934,MF094963 (NC18S)
